##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	sampleDat6_2_fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1000000
Total Bases	101 Mbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	40-41	0.4180257195764838
1104	42-43	0.48511943486350617
1104	44-45	0.3358316724581911
1104	46-47	0.4856789154216088
1104	48-49	0.5697694776348214
1104	50-51	0.48198352859683524
1104	52-53	0.5169257431799466
1104	54-55	0.40170162588511005
1104	56-57	0.3651438137407155
1104	58-59	0.22316509759483694
1104	60-61	0.19806204962875995
1104	62-63	0.0952930286269762
1104	64-65	0.17243020879369197
1104	66-67	0.2378192299565427
1104	68-69	0.28039440154970663
1104	70-71	0.2007373993664885
1104	72-73	0.30922017256313694
1104	74-75	0.38053708965269095
1104	76-77	0.2707251984029142
1104	78-79	0.42997359349922704
1104	80-81	0.3585780108698273
1104	82-83	0.4555541385324915
1104	84-85	0.5825984931956469
1104	86-87	0.5240502191462681
1104	88-89	0.48718419425848936
1104	90-91	0.4841365836764133
1104	92-93	0.5335691954697204
1104	94-95	0.32345693371216555
1104	96-97	0.5094757457137824
1104	98-99	0.6135112377965655
1104	100-101	0.21457263121901704
1105	1	2.5616639723535
1105	2	5.286463835370924
1105	3	4.301538965432243
1105	4	1.6763409217304783
1105	5	0.8959605951565166
1105	6	0.6152426338416177
1105	7	0.4277427241636502
1105	8	0.3045393685633897
1105	9	0.32449048424671645
1105	10-11	0.3000383414068182
1105	12-13	0.33322038475264293
1105	14-15	0.4074075799123307
1105	16-17	0.43669753873098216
1105	18-19	0.3487446794425253
1105	20-21	0.2879248716621774
1105	22-23	0.40109534555757875
1105	24-25	0.4708893083951935
1105	26-27	0.4421427898833272
1105	28-29	0.4426329086281484
1105	30-31	0.5127389960625237
1105	32-33	0.5506445936284123
1105	34-35	0.38523594763828584
1105	36-37	0.38680434413456766
1105	38-39	0.35034961878434956
1105	40-41	0.5481185234712029
1105	42-43	0.5931262158506598
1105	44-45	0.511979767478941
1105	46-47	0.47614967241450046
1105	48-49	0.5618420255038075
1105	50-51	0.609453046755533
1105	52-53	0.43441177912787765
1105	54-55	0.3805588556779824
1105	56-57	0.2510048035040313
1105	58-59	0.33939382550772734
1105	60-61	0.30616337322528864
1105	62-63	0.18971610137045047
1105	64-65	0.32743988039396044
1105	66-67	0.24354720804873864
1105	68-69	0.22798519505560222
1105	70-71	0.33323397627201246
1105	72-73	0.28650277889640563
1105	74-75	0.2758958082199854
1105	76-77	0.13254628466489748
1105	78-79	0.3093719982285279
1105	80-81	0.3539269491671959
1105	82-83	0.34328859333677997
1105	84-85	0.3833667877339124
1105	86-87	0.5049504386589874
1105	88-89	0.37473391063065975
1105	90-91	0.35311682753114226
1105	92-93	0.35682667737622253
1105	94-95	0.265720740193224
1105	96-97	0.30767291595568125
1105	98-99	0.09619798661749712
1105	100-101	-0.04905019810440692
1106	1	2.3562037581533986
1106	2	5.13530824161888
1106	3	4.1619543394345655
1106	4	1.5181831659370957
1106	5	0.7582192924591666
1106	6	0.508535681009576
1106	7	0.21171856788004817
1106	8	0.18988527590777693
1106	9	0.17340811471107287
1106	10-11	0.1635183415609731
1106	12-13	0.170356431492813
1106	14-15	0.0889918821818867
1106	16-17	0.2093955042539335
1106	18-19	0.12914486905470568
1106	20-21	0.20588445960252955
1106	22-23	0.2074670085566055
1106	24-25	0.17199403058636875
1106	26-27	0.24098392031107352
1106	28-29	0.2503788745519202
1106	30-31	0.34616026268730593
1106	32-33	0.270918452197769
1106	34-35	0.325736454426945
1106	36-37	0.3405811721385916
1106	38-39	0.31438458142073245
1106	40-41	0.28727151198270207
1106	42-43	0.3864352567290439
1106	44-45	0.23095447429303562
1106	46-47	0.16088878223926173
1106	48-49	0.2576025360692853
1106	50-51	0.37927310787848967
1106	52-53	0.3146924976501353
1106	54-55	0.25557359686891346
1106	56-57	0.26148068383254497
1106	58-59	0.1601139664065343
1106	60-61	0.23879959917209703
1106	62-63	0.24485278015123413
1106	64-65	0.28356566418211315
1106	66-67	0.3298405982143464
1106	68-69	0.3524765757945616
1106	70-71	0.2024778784290362
1106	72-73	0.23958705996948737
1106	74-75	0.23641253995343448
1106	76-77	0.24394594629193733
1106	78-79	0.09343050823134291
1106	80-81	0.01702232948991167
1106	82-83	0.17354811537533976
1106	84-85	0.19170297938095615
1106	86-87	0.19357255160156228
1106	88-89	0.1203209954204496
1106	90-91	0.1534234057635082
1106	92-93	0.10791251542737612
1106	94-95	0.22569715428772952
1106	96-97	0.3003339225188846
1106	98-99	0.4311170738583705
1106	100-101	-0.16997189829363535
1107	1	2.145423934771369
1107	2	5.008661902168697
1107	3	4.039206310665229
1107	4	1.3615331946158236
1107	5	0.5078217446248203
1107	6	0.30151518973182334
1107	7	0.10887173378898751
1107	8	0.19537953670683095
1107	9	0.07821239678690262
1107	10-11	0.15157731761904358
1107	12-13	0.05203402576597682
1107	14-15	0.10218045000381437
1107	16-17	0.01748163872223074
1107	18-19	-0.014075241529234006
1107	20-21	0.011892633999920577
1107	22-23	0.015526844592599787
1107	24-25	0.10404598400320708
1107	26-27	0.11539297342162058
1107	28-29	0.06837951799968778
1107	30-31	0.1152959234382962
1107	32-33	0.0453865520074217
1107	34-35	-0.08060254273129175
1107	36-37	0.11889863299231962
1107	38-39	0.07392285005479948
1107	40-41	0.07431986040276684
1107	42-43	0.009670286394438676
1107	44-45	0.035934514358793024
1107	46-47	0.07041046558463648
1107	48-49	0.0451820360381916
1107	50-51	0.13017589274809893
1107	52-53	0.11079441732051976
1107	54-55	0.04920116039019007
1107	56-57	-0.006130819600841164
1107	58-59	-0.12985715522736285
1107	60-61	-0.07716301175161533
1107	62-63	-0.05970725283506795
1107	64-65	0.010331671097262074
1107	66-67	0.03319524159608278
1107	68-69	0.007842147038736869
1107	70-71	-0.01483048278319643
1107	72-73	-0.017650575736183782
1107	74-75	-0.037012068775801765
1107	76-77	-0.14751159344940845
1107	78-79	-0.10104179164910221
